SG_UF,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023,ETAPA
AC,"3,3","3,8","4,5","4,7","5,2","5,5","6,1","6,2","5,7","6,1",Anos Iniciais
AC,"3,5","3,8","4,1","4,2","4,4","4,4","4,7","4,8","4,8","4,7",Anos Finais
AC,3,"3,3","3,5","3,3","3,3","3,5","3,6","3,7","3,9","3,9",Ensino Médio
AL,"2,9","3,3","3,3","3,4","3,7","4,1","4,9","5,2",5,"5,5",Anos Iniciais
AL,"2,5","2,7","2,7","2,5","2,7","3,1",4,"4,4","4,3","4,6",Anos Finais
AL,"2,8","2,6","2,8","2,6","2,6","2,8","3,3","3,6","3,5",4,Ensino Médio
AM,"3,3","3,9","4,5","4,8","5,1","5,5","5,8","5,8","5,9","5,9",Anos Iniciais
AM,"2,7","3,3","3,6","3,9","3,9","4,4","4,6","4,6","4,8","4,8",Anos Finais
AM,"2,3","2,8","3,2","3,4",3,"3,5","3,3","3,5","3,6","3,7",Ensino Médio
AP,"3,1",3,"3,6","3,9","3,8","4,4","4,5","4,8","4,6","4,8",Anos Iniciais
AP,"3,5","3,4","3,6","3,5","3,4","3,5","3,5","3,8","3,9","4,1",Anos Finais
AP,"2,7","2,7","2,8",3,"2,9","3,1",3,"3,2","3,1","3,6",Ensino Médio
BA,"2,6","2,6","3,2","3,8",4,"4,3","4,9",5,6,"5,1",Anos Iniciais
BA,"2,6","2,7","2,8","2,9","3,1","3,2","3,2","3,7","4,5",4,Anos Finais
BA,"2,7","2,8","3,1",3,"2,8","2,9","2,7","3,2","3,5","3,7",Ensino Médio
*BR,"3,9","4,3","4,9","5,1","5,4","5,8",6,"6,1","5,9",6,Anos Iniciais
*BR,"3,3","3,6","3,8","3,9",4,"4,2","4,5","4,7",5,"4,9",Anos Finais
*BR,3,"3,2","3,4","3,4","3,4","3,5","3,5","3,9","3,9","4,1",Ensino Médio
CE,"3,2","3,5","4,2","4,4",5,"5,8","6,7","6,5","7,2","7,7",Anos Iniciais
CE,"2,8","3,4","3,6","3,7","3,9","4,2","4,5","4,7","5,3","5,3",Anos Finais
CE,3,"3,1","3,4","3,4","3,3","3,4","3,8","4,2","4,4","4,4",Ensino Médio
*CO,"3,9","4,5",5,"5,2","5,4","5,6","5,9","5,9","5,7","5,8",Anos Iniciais
*CO,"3,1","3,5","3,8","3,9","4,2","4,4","4,8","4,8",5,5,Anos Finais
*CO,"2,9",3,"3,2","3,3","3,3","3,4","3,7","4,1",4,"4,1",Ensino Médio
DF,"4,4","4,8","5,4","5,4","5,6","5,6",6,"6,1","5,9","5,9",Anos Iniciais
DF,"3,3","3,5","3,9","3,9","3,8",4,"4,3","4,6","4,9","4,6",Anos Finais
DF,3,"3,2","3,2","3,1","3,3","3,5","3,4",4,4,"3,7",Ensino Médio
ES,"3,7","4,1",5,5,"5,3","5,5","5,9","6,1",6,"6,4",Anos Iniciais
ES,"3,5","3,6","3,8","3,7",4,4,"4,4","4,8","4,8","5,3",Anos Finais
ES,"3,1","3,2","3,4","3,3","3,4","3,7","4,1","4,6","4,4",,Ensino Médio
GO,"3,9","4,3","4,9","5,3",6,"6,1","6,6","6,4","6,1","6,7",Anos Iniciais
GO,"3,3","3,4","3,6",4,"4,5","4,7","5,2","5,2","5,3","5,5",Anos Finais
GO,"2,9","2,8","3,1","3,6","3,8","3,8","4,3","4,7","4,5","4,8",Ensino Médio
MA,"3,2","3,3",4,4,"4,2","4,3","4,1","3,9","4,1","4,1",Anos Iniciais
MA,"3,2","3,4","3,6","3,6","3,8","3,8","4,2","4,5","4,6","4,8",Anos Finais
MA,"2,4","2,8",3,3,"2,8","3,1","3,4","3,7","3,5","3,7",Ensino Médio
MG,"4,9","4,9","5,8",6,"6,2","6,3","6,5","6,5",6,"6,2",Anos Iniciais
MG,"3,6","3,7","4,1","4,4","4,7","4,5","4,4","4,6",5,"4,6",Anos Finais
MG,"3,4","3,5","3,6","3,7","3,6","3,5","3,6",4,4,4,Ensino Médio
MS,"3,2",4,"4,4","4,9","5,1","5,4","5,6","5,7","5,2","5,4",Anos Iniciais
MS,"2,9","3,5","3,6","3,5","3,7","4,1","4,6","4,6","4,7","4,6",Anos Finais
MS,"2,8","3,4","3,5","3,5","3,4","3,5","3,6","4,1","3,7","3,8",Ensino Médio
MT,"3,6","4,4","4,9","5,1","5,1","5,6","5,8","5,6","5,5","5,7",Anos Iniciais
MT,"2,9","3,6","4,2","4,3","4,2","4,5","4,6","4,5","4,7","4,8",Anos Finais
MT,"2,6",3,"2,9","3,1","2,7",3,"3,2","3,4","3,6","4,2",Ensino Médio
*N,"2,9","3,3","3,7","3,9","4,1","4,5","4,7",5,5,"5,2",Anos Iniciais
*N,"2,6","2,8",3,"3,1","3,3","3,5","3,8","4,1","4,6","4,4",Anos Finais
*N,"2,7","2,8","3,1",3,3,"3,2","3,2","3,6","3,8",4,Ensino Médio
*N,"3,2","3,6","4,2","4,5","4,7",5,"5,4","5,5","5,5","5,8",Anos Iniciais
*N,"3,1","3,3","3,5","3,6","3,6","3,9","4,2","4,3","4,5","4,7",Anos Finais
*N,"2,7","2,7","3,1","3,1","2,9","3,2","3,2","3,4","3,4","4,1",Ensino Médio
PA,"2,8","2,8","3,7",4,"3,6","4,2","4,5",5,5,"5,7",Anos Iniciais
PA,"3,1","2,9","3,1","3,1",3,"3,2","3,3","3,8",4,"4,8",Anos Finais
PA,"2,6","2,3",3,"2,8","2,7",3,"2,8","3,2",3,"4,3",Ensino Médio
PB,3,"3,5","3,7",4,"4,2","4,4","4,7","4,9","5,1","5,2",Anos Iniciais
PB,"2,5","2,8","2,8","2,9",3,"3,3","3,4","3,8","4,6","3,9",Anos Finais
PB,"2,6","2,9",3,"2,9",3,"3,1","3,1","3,6","3,9","3,6",Ensino Médio
PE,"3,1","3,5","3,9","4,2","4,3","4,7","4,9",5,"5,3","6,2",Anos Iniciais
PE,"2,4","2,5",3,"3,3","3,6","4,1","4,5","4,7","4,8","4,9",Anos Finais
PE,"2,7","2,7",3,"3,1","3,6","3,9",4,"4,4","4,4","4,5",Ensino Médio
PI,"2,6","3,2","3,8","4,1","4,5","4,6","5,5",6,"6,1","6,4",Anos Iniciais
PI,"2,6","3,1","3,4","3,6","3,5","3,8",4,"4,3","4,9","5,2",Anos Finais
PI,"2,3","2,5","2,7","2,9",3,"3,2","3,3","3,7",4,"4,3",Ensino Médio
PR,5,"5,2","5,2","5,2","6,2","6,2","6,3","6,8","7,1","7,1",Anos Iniciais
PR,"3,3",4,"4,1",4,"4,1","4,3","4,6","5,1","5,2","5,4",Anos Finais
PR,"3,3","3,7","3,9","3,7","3,4","3,6","3,7","4,4","4,6","4,7",Ensino Médio
RJ,"3,7","3,8",4,"4,3","4,7","5,1","4,8","5,4","5,3","5,8",Anos Iniciais
RJ,"2,9","2,9","3,1","3,2","3,6","3,7","3,7","3,9","4,5","3,8",Anos Finais
RJ,"2,8","2,8","2,8","3,2","3,6","3,6","3,3","3,5","3,9","3,3",Ensino Médio
RN,"2,6",3,"3,5","3,7","3,9","4,5","4,6","4,9","4,7",5,Anos Iniciais
RN,"2,6","2,7","2,9","2,9","3,1","3,2","3,3","3,6","3,9","3,7",Anos Finais
RN,"2,6","2,6","2,8","2,8","2,7","2,8","2,9","3,2","2,8","3,2",Ensino Médio
RO,"3,6",4,"4,4","4,7","5,4","5,7","6,1","5,7","5,6","5,8",Anos Iniciais
RO,"3,2","3,3","3,4","3,5","3,7",4,"4,9","4,8","4,8","4,7",Anos Finais
RO,3,"3,1","3,7","3,3","3,4","3,3","3,8",4,"3,9",4,Ensino Médio
RR,"3,5","3,5","4,2","4,5","4,8","5,1",-,-,-,-,Anos Iniciais
RR,"3,2","3,5","3,7","3,6","3,5","3,7",4,"4,1","4,6","4,2",Anos Finais
RR,"3,2","3,1","3,5","3,5","3,2","3,4","3,3","3,5","3,7","3,6",Ensino Médio
RS,"4,2","4,5","4,8","5,1","5,5","5,5","5,7","5,8","5,9","5,8",Anos Iniciais
RS,"3,5","3,7","3,8","3,8","3,9",4,"4,3","4,4",5,"4,7",Anos Finais
RS,"3,4","3,4","3,6","3,4","3,7","3,3","3,4",4,"4,1","3,9",Ensino Médio
SC,"4,3","4,7",5,"5,7","5,7","5,9",6,"5,9","6,1","5,8",Anos Iniciais
SC,"4,1","4,1","4,2","4,7","4,1","4,7","4,8","4,5","4,8","4,6",Anos Finais
SC,"3,5","3,8","3,7",4,"3,6","3,4","3,6","3,8","3,6","3,8",Ensino Médio
SE,3,"3,4","3,7","3,9","4,1","4,3","4,7",5,"5,2","5,3",Anos Iniciais
SE,"2,9","2,9","2,7","2,9","2,7","2,9","3,5","3,6","4,5","4,2",Anos Finais
SE,"2,8","2,6","2,9","2,9","2,8","2,6","3,1","3,3","3,9","3,7",Ensino Médio
SP,"4,5","4,7","5,4","5,4","5,7","6,4","6,5","6,6","6,1","6,2",Anos Iniciais
SP,"3,8",4,"4,3","4,3","4,4","4,7","4,8","5,2","5,3","5,1",Anos Finais
SP,"3,3","3,4","3,6","3,9","3,7","3,9","3,8","4,3","4,4","4,2",Ensino Médio
*SE,"4,5","4,7","5,4","5,5","5,9","6,3","6,5","6,5","6,1","6,2",Anos Iniciais
*SE,"3,6","3,8","4,1","4,2","4,4","4,5","4,6","4,9","5,1","4,9",Anos Finais
*SE,"3,2","3,4","3,5","3,6","3,6","3,7","3,6","4,1","4,1","4,1",Ensino Médio
*S,"4,2","4,6","4,9","5,4","5,6","5,6","5,8","5,8",6,"5,8",Anos Iniciais
*S,"3,5","3,9",4,"4,1",4,"4,3","4,6","4,8","5,1","5,1",Anos Finais
*S,"3,4","3,6","3,8","3,7","3,6","3,5","3,6","4,1","4,2","4,2",Ensino Médio
TO,"3,6","4,2","4,5","4,9","5,1",5,"5,8","5,8","5,5","6,2",Anos Iniciais
TO,"3,4","3,6","3,9","3,9","3,7","3,8","4,4","4,4","4,7","4,7",Anos Finais
TO,"2,9","3,1","3,3","3,5","3,2","3,3","3,7","3,9","4,1","4,1",Ensino Médio


